               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.044691,            0.008563,                   0,             0.82259,             0.67775,             0.74193,              0.2677,            0.047097,           0.0073702,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.044946,            0.009055,                   0,             0.80429,             0.59518,              0.6781,             0.23108,            0.047364,           0.0076147,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.044393,           0.0089751,                   0,             0.73613,             0.63985,             0.67993,             0.22762,            0.048565,           0.0075041,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.044885,           0.0088221,                   0,             0.79338,             0.63411,             0.70794,             0.23673,            0.047426,           0.0074491,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.044198,           0.0090525,                   0,             0.76748,             0.66284,             0.72114,             0.24153,            0.046947,           0.0074048,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.044705,           0.0094027,                   0,             0.73645,             0.65138,              0.6929,             0.23097,            0.048854,           0.0074282,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.043714,           0.0089974,                   0,             0.79144,             0.63972,             0.70596,             0.23999,            0.047082,              0.0075,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.044635,           0.0091789,                   0,             0.81761,              0.6272,             0.70496,             0.23143,            0.047751,             0.00749,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.044677,           0.0093203,                   0,             0.78707,             0.65138,             0.71915,             0.24875,            0.046231,           0.0073926,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.044848,            0.008873,                   0,              0.7838,             0.63608,              0.6851,             0.22181,            0.047843,           0.0075205,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.043833,           0.0087513,                   0,             0.80329,             0.63991,             0.71231,             0.24594,            0.047134,           0.0075405,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.043752,           0.0089613,                   0,             0.77347,             0.63991,             0.69227,             0.23605,            0.048012,           0.0076412,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.043588,           0.0088079,                   0,             0.75586,             0.66394,             0.71169,             0.25518,            0.045421,           0.0073566,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.043773,           0.0087532,                   0,             0.83906,             0.60982,             0.70236,             0.23426,            0.048674,           0.0074052,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.043819,           0.0085915,                   0,             0.79805,             0.59862,             0.68352,             0.22099,            0.048332,           0.0076963,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.043259,           0.0087855,                   0,              0.7854,             0.62615,              0.6943,             0.23355,            0.048158,           0.0074877,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.044012,           0.0088595,                   0,             0.81056,             0.61927,             0.70808,             0.23924,            0.047785,           0.0073775,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.043516,           0.0085983,                   0,             0.75185,             0.69145,              0.7278,             0.25326,            0.046959,           0.0072838,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.043856,           0.0092677,                   0,             0.76724,              0.6055,             0.66993,             0.21851,            0.048936,           0.0073774,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.044221,           0.0089494,                   0,             0.82982,             0.60392,             0.69249,             0.23213,            0.048818,           0.0073416,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.043515,           0.0091734,                   0,             0.78238,             0.58133,             0.65608,             0.20853,             0.04839,           0.0077199,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.043731,           0.0084941,                   0,             0.79927,             0.64564,             0.72352,             0.24613,             0.04735,           0.0073549,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.044079,             0.00914,                   0,             0.80121,             0.62959,             0.71099,             0.24045,            0.046734,           0.0074166,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.043093,           0.0088621,                   0,             0.80593,              0.6055,             0.69232,             0.23116,            0.048545,           0.0074791,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.043215,           0.0086284,                   0,             0.82024,             0.65932,             0.72469,             0.24182,            0.047503,           0.0074389,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.043634,           0.0088513,                   0,             0.78074,             0.62959,             0.68786,             0.23778,            0.046965,           0.0077936,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.043363,           0.0091937,                   0,              0.7123,              0.6594,             0.67991,             0.22689,            0.047797,           0.0074379,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.042848,            0.008328,                   0,             0.80962,             0.66514,             0.73399,              0.2514,            0.046013,           0.0073274,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.042992,           0.0087131,                   0,             0.78987,             0.66972,             0.70403,             0.23746,            0.048013,            0.007309,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.043379,           0.0087898,                   0,             0.80215,             0.68348,             0.73534,             0.25843,            0.045985,           0.0073718,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.043871,           0.0090964,                   0,             0.78236,             0.61468,             0.67345,              0.2244,            0.048364,           0.0075728,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.043229,           0.0085708,                   0,             0.77054,             0.66514,             0.71279,             0.23969,            0.047464,           0.0075304,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.043661,           0.0086443,                   0,             0.77322,             0.66514,             0.72647,             0.25161,            0.048363,           0.0074554,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.043005,           0.0084848,                   0,             0.76456,             0.66743,              0.7139,             0.24177,            0.046953,           0.0073951,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.041673,           0.0085518,                   0,             0.79121,             0.64106,             0.71725,             0.24797,            0.046537,           0.0074781,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.04308,           0.0086589,                   0,             0.76043,             0.58241,             0.65053,             0.21185,            0.051208,           0.0074553,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.042722,           0.0085567,                   0,             0.81234,             0.63044,               0.714,              0.2458,            0.045822,           0.0073609,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.042495,           0.0085577,                   0,             0.78672,             0.63073,             0.70581,             0.23928,            0.046395,           0.0073169,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.043404,            0.008438,                   0,             0.82833,             0.67087,             0.73704,             0.25415,            0.046779,           0.0072496,                   0,            0.006073,            0.006073,            0.006073
